"Age"	"Gender"	"Education"	"Country"	"Ethnicity"	"Nscore"	"Escore"	"Oscore"	"Ascore"	"Cscore"	"Impulsive"	"SS"	"Alcohol"	"Amphet"	"Amyl"	"Benzos"	"Caff"	"Cannabis"	"Choc"	"Coke"	"Crack"	"Ecstacy"	"Heroin"	"Ketamine"	"Legalh"	"LSD"	"Meth"	"Mushrooms"	"Nicotine"	"Semer"	"VSA"
"1"	"25_34"	"Male"	"Doctorate"	"UK"	"White"	-0.67825	1.93886	1.43533	0.76096	-0.14277	-0.71126	-0.21575	"CL5"	"CL2"	"CL2"	"CL0"	"CL6"	"CL4"	"CL6"	"CL3"	"CL0"	"CL4"	"CL0"	"CL2"	"CL0"	"CL2"	"CL3"	"CL0"	"CL4"	"CL0"	"CL0"
"2"	"35_44"	"Male"	"ProfessionalCert"	"UK"	"White"	-0.46725	0.80523	-0.84732	-1.6209	-1.0145	-1.37983	0.40148	"CL6"	"CL0"	"CL0"	"CL0"	"CL6"	"CL3"	"CL4"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL1"	"CL0"	"CL0"	"CL0"
"3"	"18_24"	"Female"	"Masters"	"UK"	"White"	-0.14882	-0.80615	-0.01928	0.59042	0.58489	-1.37983	-1.18084	"CL4"	"CL0"	"CL0"	"CL3"	"CL5"	"CL2"	"CL4"	"CL2"	"CL0"	"CL0"	"CL0"	"CL2"	"CL0"	"CL0"	"CL0"	"CL0"	"CL2"	"CL0"	"CL0"
"4"	"35_44"	"Female"	"Doctorate"	"UK"	"White"	0.73545	-1.6334	-0.45174	-0.30172	1.30612	-0.21712	-0.21575	"CL4"	"CL1"	"CL1"	"CL0"	"CL6"	"CL3"	"CL6"	"CL0"	"CL0"	"CL1"	"CL0"	"CL0"	"CL1"	"CL0"	"CL0"	"CL2"	"CL2"	"CL0"	"CL0"
"5"	"65_"	"Female"	"At18"	"Canada"	"White"	-0.67825	-0.30033	-1.55521	2.03972	1.63088	-1.37983	-1.54858	"CL2"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL4"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL0"
"6"	"45_54"	"Male"	"Masters"	"USA"	"White"	-0.46725	-1.09207	-0.45174	-0.30172	0.93949	-0.21712	0.07987	"CL6"	"CL0"	"CL0"	"CL0"	"CL6"	"CL1"	"CL5"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL0"
"7"	"35_44"	"Male"	"At16"	"UK"	"White"	-1.32828	1.93886	-0.84732	-0.30172	1.63088	0.19268	-0.52593	"CL5"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL4"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"
"8"	"35_44"	"Female"	"ProfessionalCert"	"Canada"	"White"	0.62967	2.57309	-0.97631	0.76096	1.13407	-1.37983	-1.54858	"CL4"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL6"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL0"
"9"	"55_64"	"Male"	"Masters"	"UK"	"White"	-0.24649	0.00332	-1.42424	0.59042	0.12331	-1.37983	-0.84637	"CL6"	"CL1"	"CL0"	"CL1"	"CL6"	"CL1"	"CL6"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL0"
"10"	"25_34"	"Female"	"Bachelors"	"UK"	"White"	-1.05308	0.80523	-1.11902	-0.76096	1.81175	0.19268	0.07987	"CL5"	"CL0"	"CL1"	"CL0"	"CL6"	"CL2"	"CL5"	"CL2"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL2"	"CL0"	"CL1"
"11"	"45_54"	"Male"	"SomeCollege"	"Other"	"White"	-1.32828	0.00332	0.14143	-1.92595	-0.52745	0.52975	1.2247	"CL5"	"CL1"	"CL0"	"CL0"	"CL6"	"CL4"	"CL5"	"CL2"	"CL0"	"CL3"	"CL0"	"CL0"	"CL0"	"CL1"	"CL0"	"CL2"	"CL6"	"CL0"	"CL0"
"12"	"55_64"	"Female"	"Bachelors"	"UK"	"White"	2.28554	0.16767	0.44585	-1.6209	-0.78155	1.29221	0.07987	"CL5"	"CL1"	"CL0"	"CL4"	"CL6"	"CL3"	"CL5"	"CL1"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL1"	"CL1"	"CL1"	"CL6"	"CL0"	"CL0"
"13"	"55_64"	"Female"	"ProfessionalCert"	"Canada"	"White"	-0.79151	0.80523	-0.01928	0.94156	3.46436	-0.71126	-0.84637	"CL1"	"CL0"	"CL0"	"CL0"	"CL5"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL1"	"CL0"	"CL0"
"14"	"55_64"	"Female"	"ProfessionalCert"	"UK"	"White"	-0.92104	1.45421	0.44585	-0.60633	1.63088	1.29221	0.7654	"CL6"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL6"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL0"
"15"	"55_64"	"Male"	"Bachelors"	"UK"	"White"	-2.05048	-1.50796	-1.55521	-1.07533	1.13407	-0.71126	-0.52593	"CL5"	"CL2"	"CL2"	"CL0"	"CL6"	"CL1"	"CL5"	"CL2"	"CL0"	"CL1"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"
"16"	"35_44"	"Female"	"SomeCollege"	"UK"	"White"	-1.55078	-0.80615	-1.68062	0.28783	0.7583	-0.21712	-2.07848	"CL6"	"CL0"	"CL0"	"CL1"	"CL6"	"CL3"	"CL5"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL0"	"CL6"	"CL0"	"CL0"
